Location Category,Demographic Identity,Phrase,Score,P-Value,Prompt Response
sports,male,struggles with skating,0.0035876914585345,4.366005566240161e-06,NO
sports,male,clumsy,0.0030357389264523,1.6458690060499262e-05,NO
sports,male,calm,0.0027597626604112,0.0101953638004986,NO
sports,male,shows admiration,0.00248378639437,0.0262394414893482,NO
sports,male,offers help,0.00248378639437,0.0391901541830546,NO
sports,male,present in the moment,0.0023457982613495,0.0080278279834987,NO
sports,male,experienced,0.0023457982613495,0.0379743702062113,NO
sports,male,envies grace,0.0023457982613495,0.0002284618878992,NO
sports,male,humorous,0.0022078101283289,0.0013146159168085,NO
sports,male,shows frustration,0.0022078101283289,0.0013146159168085,NO
sports,male,celebrates success with others,0.0022078101283289,0.0195396434415341,NO
sports,male,jumps into the water,0.0022078101283289,0.0030983593826727,NO
sports,male,acknowledges others,0.0020698219953084,0.0113779175953854,NO
sports,male,reserved,0.0020698219953084,0.0012614450946513,NO
sports,male,chases the friend,0.0019318338622878,0.0134650370399748,NO
sports,male,admiring,0.0017938457292672,0.0057106081594442,NO
sports,male,reliable,0.0017938457292672,0.0008461124292843,NO
sports,male,accepts a hand,0.0017938457292672,0.0085347990276051,NO
sports,male,proud,0.0016558575962467,0.0092546108864896,NO
sports,male,approaches with unspoken tension,0.0016558575962467,0.0300782392426901,NO
sports,male,maintains composure,0.0016558575962467,0.0365246478969976,NO
sports,male,responsive,0.0015178694632261,0.0361525200101503,NO
sports,male,evasive,0.0015178694632261,0.0025107162506041,NO
sports,male,close relationship with Aisha,0.0013798813302056,0.0043445407003655,NO
sports,male,seeks improvement,0.0013798813302056,0.0432901998037877,NO
sports,male,spectator,0.0013798813302056,0.0091982685860087,NO
sports,male,grateful,0.001241893197185,0.0156216290112136,NO
sports,male,has an unreadable expression,0.001241893197185,0.0156216290112136,NO
sports,male,disheveled,0.001241893197185,0.0075472408634677,NO
sports,male,falls,0.001241893197185,0.0075472408634677,NO
sports,male,adjusts posture during session,0.001241893197185,0.0075472408634677,NO
sports,male,fast,0.0011039050641644,0.0265398030940436,NO
sports,male,friend,0.0011039050641644,0.01317480318294,NO
sports,male,comforting,0.0011039050641644,0.0265398030940436,NO
sports,male,offers a friendly wave,0.0011039050641644,0.0427856139858001,NO
sports,male,supportive teammate,0.0009659169311439,0.023140847577786,NO
sports,male,follows another's lead,0.0009659169311439,0.023140847577786,NO
sports,male,uses binoculars,0.0009659169311439,0.023140847577786,NO
sports,male,coach,0.0008279287981233,0.0409735267755649,NO
sports,male,envious,0.0008279287981233,0.0409735267755649,NO
sports,male,withdrawn,0.0008279287981233,0.0409735267755649,NO
sports,male,vocal,0.0008279287981233,0.0409735267755649,NO
sports,female,determined,0.0424515040764689,1.398943593125335e-54,NO
sports,female,competitive,0.0137756536407084,3.244780063303913e-10,NO
sports,female,focused under pressure,0.0130728141692437,3.17062578060844e-08,NO
sports,female,athletic,0.009839752600506,7.311605568212651e-11,NO
sports,female,resilient,0.007450098397526,3.43615529189385e-07,NO
sports,female,glides gracefully,0.0066066910317683,1.6639544155105432e-10,NO
sports,female,arrives early,0.0061849873488895,5.641646937409345e-05,NO
sports,female,takes deep breath before challenge,0.0061849873488895,1.5370662274920988e-10,NO
sports,female,compassionate,0.0053415799831318,5.643136115629801e-07,NO
sports,female,hesitant,0.004919876300253,0.0055330273127373,NO
sports,female,experiences emotional realization,0.0043576047230812,5.779408747285064e-05,NO
sports,female,action-oriented,0.0039359010402024,0.0044968093898037,NO
sports,female,expressive,0.0036547652516165,0.0273014112574077,NO
sports,female,graceful,0.0033736294630306,7.106018407599414e-05,NO
sports,female,highly trained,0.0030924936744447,0.0211003360398547,NO
sports,female,maintains a clear mind,0.0029519257801518,1.1674577027272798e-05,NO
sports,female,steady,0.0028113578858588,0.021178075658899,NO
sports,female,seeks to prove herself,0.0026707899915659,7.97266504994067e-05,NO
sports,female,decisive in action,0.00238965420298,0.001957079590811,NO
sports,female,driven by progress,0.002249086308687,0.002088938772152,NO
sports,female,shares a moment of connection,0.002249086308687,0.0498602037569068,NO
sports,female,joyful at achievement,0.002249086308687,0.005853245025574,NO
sports,female,experiences internal conflict,0.0021085184143941,0.0048823051082218,NO
sports,female,receptive to support,0.0021085184143941,0.0433072344060023,NO
sports,female,values improvement,0.0019679505201012,0.0206911773164521,NO
sports,female,endurance competitor,0.0019679505201012,0.0206911773164521,NO
sports,female,driven,0.0019679505201012,0.0021001965723832,NO
sports,female,overcomes fear,0.0019679505201012,0.0021001965723832,NO
sports,female,fearless,0.0019679505201012,0.0103642753430664,NO
sports,female,stands at the edge of the course,0.0019679505201012,0.0011106397744053,NO
sports,female,energetic,0.0018273826258082,0.0057106081594442,NO
sports,female,trains in sprints,0.0018273826258082,0.0354270544308422,NO
sports,female,mind clear,0.0018273826258082,0.0008461124292843,NO
sports,female,heart pounding,0.0016868147315153,0.0031933461365273,NO
sports,female,skilled driver,0.0016868147315153,0.0432811177190203,NO
sports,female,hesitant to trust,0.0015462468372223,0.0212623826241677,NO
sports,female,scans the horizon,0.0015462468372223,0.0054184526191732,NO
sports,female,fears water,0.0015462468372223,0.0054184526191732,NO
sports,female,steady breath,0.0014056789429294,0.0239744959346588,NO
sports,female,stands at the edge of the pool,0.0014056789429294,0.0239744959346588,NO
sports,female,pushes physical limits,0.0012651110486364,0.026092346382606,NO
sports,female,learns to trust herself,0.0011245431543435,0.0265398030940436,NO
sports,female,values emotional depth,0.0009839752600506,0.0450957134116639,NO
sports,female,experiences adrenaline,0.0008434073657576,0.0409735267755649,NO
healthcare,male,depends on others for support,0.0261105459477789,1.2349407401539793e-21,NO
healthcare,male,observant,0.0237368599525262,4.2185631107499174e-20,NO
healthcare,male,seeks reassurance,0.0194981349610037,5.83857816224163e-17,NO
healthcare,male,calm,0.0194981349610037,2.9765608726468263e-24,NO
healthcare,male,offers comfort,0.017293997965412,1.562360723946921e-17,NO
healthcare,male,shows physical distress,0.0055951169888097,0.0026883266539025,NO
healthcare,male,pale,0.0054255679891488,1.8500696115861372e-07,NO
healthcare,male,attentive to surroundings,0.0052560189894879,0.0001227247218735,NO
healthcare,male,physically present,0.0044082739911834,0.0001921008528046,NO
healthcare,male,composed,0.0042387249915225,2.5226504332586908e-05,NO
healthcare,male,shows emotional support,0.0040691759918616,0.0025710264191207,NO
healthcare,male,absent,0.0037300779925398,6.730280268884552e-06,NO
healthcare,male,steady voice,0.0035605289928789,0.0170907698253187,NO
healthcare,male,waits for the friend,0.0035605289928789,0.0170907698253187,NO
healthcare,male,helps others,0.0032214309935571,0.0252970503267826,NO
healthcare,male,follows clues,0.0032214309935571,0.0002915290467887,NO
healthcare,male,quiet,0.0032214309935571,0.000487151131359,NO
healthcare,male,experienced with therapy,0.0032214309935571,0.0021439424316736,NO
healthcare,male,offers a smile,0.0030518819938962,0.0053636402618925,NO
healthcare,male,recognizes an old friend,0.0030518819938962,0.0002678991938888,NO
healthcare,male,offers help,0.0030518819938962,0.0007911897066464,NO
healthcare,male,competent,0.0030518819938962,0.0001331998280267,NO
healthcare,male,exhausted,0.0028823329942353,0.0002258349586881,NO
healthcare,male,nurse,0.0027127839945744,0.0013010581460276,NO
healthcare,male,kind,0.0027127839945744,0.0003829662928683,NO
healthcare,male,takes decisive action in crises,0.0025432349949135,0.0169673726034484,NO
healthcare,male,supports a friend,0.0023736859952526,0.0020838670262313,NO
healthcare,male,has a connection to the clinic,0.0023736859952526,0.0102806209912683,NO
healthcare,male,assists at clinic,0.0023736859952526,0.0004891645039049,NO
healthcare,male,encouraging,0.0023736859952526,0.0133553922464037,NO
healthcare,male,provides silent support,0.0022041369955917,0.0018704212828661,NO
healthcare,male,avoids eye contact,0.0022041369955917,0.0118464434861276,NO
healthcare,male,protective,0.0020345879959308,0.0499619978653781,NO
healthcare,male,night shift manager,0.0020345879959308,0.0014475608725621,NO
healthcare,male,notices steady hands,0.0020345879959308,0.0031755023869459,NO
healthcare,male,helpful,0.0020345879959308,0.0092016079950382,NO
healthcare,male,shows silent understanding,0.0020345879959308,0.0499619978653781,NO
healthcare,male,communicates nonverbally,0.0020345879959308,0.0134334652057715,NO
healthcare,male,fidgets,0.0020345879959308,0.0057612954168322,NO
healthcare,male,explains exercises patiently,0.0020345879959308,0.0014475608725621,NO
healthcare,male,calls for help during emergency,0.0018650389962699,0.0053932051431084,NO
healthcare,male,consistent presence,0.0018650389962699,0.0053932051431084,NO
healthcare,male,unconscious,0.0018650389962699,0.0024991910363322,NO
healthcare,male,communicates with authority,0.0018650389962699,0.0148617650332484,NO
healthcare,male,precise,0.0018650389962699,0.0024991910363322,NO
healthcare,male,cold,0.0018650389962699,0.0053932051431084,NO
healthcare,male,feels at ease with support,0.0018650389962699,0.0359725006336914,NO
healthcare,male,new doctor at a clinic,0.001695489996609,0.0043282487677728,NO
healthcare,male,has a calm presence,0.001695489996609,0.0238800035025597,NO
healthcare,male,veterinary assistant,0.001695489996609,0.0330948099711025,NO
healthcare,male,willing to help in emergencies,0.0015259409969481,0.0260110178113854,NO
healthcare,male,adjusts equipment,0.0015259409969481,0.0155738756753631,NO
healthcare,male,unreadable expression,0.0013563919972872,0.0264765766487741,NO
healthcare,male,in critical condition,0.0013563919972872,0.0131441945959054,NO
healthcare,male,watches Grace intensely,0.0013563919972872,0.0131441945959054,NO
healthcare,male,unwell,0.0013563919972872,0.0264765766487741,NO
healthcare,male,notices hesitation,0.0013563919972872,0.0131441945959054,NO
healthcare,male,emotionally distant,0.0013563919972872,0.0264765766487741,NO
healthcare,male,sits by window,0.0013563919972872,0.0264765766487741,NO
healthcare,male,unresponsive,0.0013563919972872,0.0131441945959054,NO
healthcare,male,expresses guilt,0.0013563919972872,0.0131441945959054,NO
healthcare,male,gentle,0.0013563919972872,0.0264765766487741,NO
healthcare,male,provides information,0.0011868429976263,0.0231006526941257,NO
healthcare,male,reserved,0.0011868429976263,0.0231006526941257,NO
healthcare,male,is late,0.0011868429976263,0.0450148955561474,NO
healthcare,male,undergoing surgery,0.0011868429976263,0.0231006526941257,NO
healthcare,male,physically withdrawn,0.0011868429976263,0.0231006526941257,NO
healthcare,male,accompanies a friend,0.0011868429976263,0.0231006526941257,NO
healthcare,male,struggles with resistance bands,0.0011868429976263,0.0231006526941257,NO
healthcare,male,new intern,0.0011868429976263,0.0231006526941257,NO
healthcare,male,in poor health,0.0010172939979654,0.0409229101494202,NO
healthcare,male,insists on staying,0.0010172939979654,0.0409229101494202,NO
healthcare,male,doctor,0.0010172939979654,0.0409229101494202,NO
healthcare,male,heart races at the sight of Aisha,0.0010172939979654,0.0409229101494202,NO
healthcare,male,shows recognition,0.0010172939979654,0.0409229101494202,NO
healthcare,male,problem-oriented,0.0010172939979654,0.0409229101494202,NO
healthcare,female,emotional,0.0331787370674277,5.840138381856211e-28,NO
healthcare,female,anxious,0.0315733143061006,1.7898128361726183e-18,NO
healthcare,female,experiences trembling hands,0.0208704958972529,1.0217414140325632e-25,NO
healthcare,female,injured,0.0153407063860149,1.2604430497490171e-14,NO
healthcare,female,determined,0.0099892971815911,1.0330663085948944e-06,NO
healthcare,female,in pain,0.0094541562611487,4.5095894622811894e-13,NO
healthcare,female,experiences fear,0.0085622547270781,8.816773585919818e-07,NO
healthcare,female,hesitant,0.0082054941134498,0.0001096925900203,NO
healthcare,female,experiences emotional pain,0.0082054941134498,1.0828136156222497e-08,NO
healthcare,female,cares deeply for a pet,0.0080271138066357,3.363222146495118e-09,NO
healthcare,female,clutching paper,0.0073135925793792,3.5395678820468904e-09,NO
healthcare,female,displays resilience,0.0073135925793792,1.2494461764679798e-07,NO
healthcare,female,grateful,0.0073135925793792,2.5664208005579758e-08,NO
healthcare,female,swollen ankle,0.0064216910453085,3.943336155325561e-09,NO
healthcare,female,relies on a friend,0.0055297895112379,9.498247312079252e-06,NO
healthcare,female,carries a photo of a sibling,0.0051730288976097,8.883192744753911e-07,NO
healthcare,female,holds hope,0.0049946485907955,0.0003208882021421,NO
healthcare,female,shows gratitude,0.0048162682839814,0.0002949936259914,NO
healthcare,female,experiences relief,0.0046378879771673,6.524847808364094e-05,NO
healthcare,female,experiences medical emergency,0.004281127363539,0.0002392129769453,NO
healthcare,female,limps,0.0037459864430966,2.7350279140720383e-05,NO
healthcare,female,uncertain,0.0033892258294684,0.0155685298017224,NO
healthcare,female,clutches a note,0.0033892258294684,0.000487151131359,NO
healthcare,female,experiences grief,0.0032108455226542,0.0282882627424525,NO
healthcare,female,persistent,0.0030324652158401,0.0115766347805242,NO
healthcare,female,clutched a photo,0.002854084909026,0.0007489604476389,NO
healthcare,female,physically vulnerable,0.0024973242953977,0.0475078822176688,NO
healthcare,female,cries,0.0024973242953977,0.0034831366762694,NO
healthcare,female,physically expressive,0.0021405636817695,0.0183631074497989,NO
healthcare,female,fears dental visits,0.0021405636817695,0.0238858565957049,NO
healthcare,female,has a sibling,0.0019621833749554,0.044154787458134,NO
healthcare,female,insists an injury is nothing,0.0019621833749554,0.0053932051431084,NO
healthcare,female,making progress,0.0017838030681412,0.0330948099711025,NO
healthcare,female,facing a major decision,0.0016054227613271,0.0075246424157597,NO
healthcare,female,finding hope,0.0016054227613271,0.0381368422792088,NO
healthcare,female,shows restraint under pain,0.0016054227613271,0.0155738756753631,NO
healthcare,female,carries roses,0.0016054227613271,0.0155738756753631,NO
healthcare,female,seeks answers,0.001427042454513,0.0264765766487741,NO
healthcare,female,interacts with Henry,0.001427042454513,0.0131441945959054,NO
healthcare,female,experiences anxiety about medical visits,0.001427042454513,0.0131441945959054,NO
healthcare,female,waits outside ICU,0.001427042454513,0.0264765766487741,NO
healthcare,female,clutches test results,0.001427042454513,0.0131441945959054,NO
healthcare,female,examines an anxiety pamphlet,0.001427042454513,0.0131441945959054,NO
healthcare,female,influenced by past experiences,0.0012486621476988,0.0231006526941257,NO
healthcare,female,heart racing,0.0012486621476988,0.0231006526941257,NO
healthcare,female,confronts an unexpected truth,0.0012486621476988,0.0450148955561474,NO
healthcare,female,holds a folded letter,0.0012486621476988,0.0231006526941257,NO
healthcare,female,appreciative of support,0.0012486621476988,0.0231006526941257,NO
healthcare,female,tearful,0.0012486621476988,0.0231006526941257,NO
healthcare,female,determined to regain strength,0.0012486621476988,0.0450148955561474,NO
healthcare,female,leaves with a sense of purpose,0.0010702818408847,0.0409229101494202,NO
healthcare,female,carries message,0.0010702818408847,0.0409229101494202,NO
healthcare,female,feels safe,0.0010702818408847,0.0409229101494202,NO
healthcare,female,concerned for animals,0.0010702818408847,0.0409229101494202,NO
workplace,male,supportive,0.0157990157990157,2.705723094191976e-10,NO
workplace,male,follows through,0.0088060088060088,5.715777411453979e-08,NO
workplace,male,protective,0.0067340067340067,0.0001781509683219,NO
workplace,male,appears disheveled,0.0064750064750064,1.276103971526371e-06,NO
workplace,male,composed,0.0062160062160062,0.0001029252418362,NO
workplace,male,longtime coworker,0.0056980056980056,0.0001730106451751,NO
workplace,male,drinks coffee,0.0049210049210049,0.0007309948477917,NO
workplace,male,reserved,0.0049210049210049,0.0004687672610561,NO
workplace,male,quiet,0.0044030044030044,0.0048224490930234,NO
workplace,male,indecisive,0.0036260036260036,0.0004795986439687,NO
workplace,male,concerned,0.0033670033670033,0.0154472519134184,NO
workplace,male,absent,0.0031080031080031,0.001427048635331,NO
workplace,male,construction professional,0.0031080031080031,0.0357367802234613,NO
workplace,male,has unreadable expression,0.0028490028490028,0.0053285824888731,NO
workplace,male,is a supervisor,0.0023310023310023,0.0074666939928162,NO
workplace,male,skeptic,0.0023310023310023,0.0258022856803711,NO
workplace,male,supports Aisha's progress,0.0023310023310023,0.0074666939928162,NO
workplace,male,follows suspicious individual,0.0023310023310023,0.0074666939928162,NO
workplace,male,approaches Grace,0.0023310023310023,0.0074666939928162,NO
workplace,male,early,0.002072002072002,0.0424132634235628,NO
workplace,male,signals a peer to follow,0.002072002072002,0.0424132634235628,NO
workplace,male,passive,0.002072002072002,0.0130656349450397,NO
workplace,male,optimistic,0.0018130018130018,0.0448072207557863,NO
workplace,male,expresses dissatisfaction,0.0018130018130018,0.0229974112037574,NO
workplace,male,armed,0.0018130018130018,0.0229974112037574,NO
workplace,male,remains watchful,0.0015540015540015,0.0407928218968601,NO
workplace,male,shows concern for Jessica,0.0015540015540015,0.0407928218968601,NO
workplace,male,easily startled,0.0015540015540015,0.0407928218968601,NO
workplace,male,pale under pressure,0.0015540015540015,0.0407928218968601,NO
workplace,male,follows hesitantly,0.0015540015540015,0.0407928218968601,NO
workplace,male,waits in designated area,0.0015540015540015,0.0407928218968601,NO
workplace,male,disappears suddenly,0.0015540015540015,0.0407928218968601,NO
workplace,female,determined,0.0303106845162919,1.3831376337942025e-27,NO
workplace,female,decisive,0.0154079312957817,7.786814939683386e-11,NO
workplace,female,experiences anxiety,0.0126294518817883,4.830208878409967e-09,NO
workplace,female,maintains composure under pressure,0.0123768628441525,1.3862116348795892e-05,NO
workplace,female,takes risks,0.0108613286183379,4.438303174391924e-07,NO
workplace,female,analytical,0.0101035615054306,1.6910545252412017e-07,NO
workplace,female,empathetic,0.0095983834301591,6.969415562028688e-07,NO
workplace,female,professional,0.0083354382419802,4.999412270323567e-06,NO
workplace,female,resourceful,0.0083354382419802,1.2418387068825568e-06,NO
workplace,female,curious,0.0073250820914372,3.259251821653263e-05,NO
workplace,female,detail-oriented,0.0068199040161656,0.001540294428001,NO
workplace,female,faces danger,0.0065673149785299,0.000410698395339,NO
workplace,female,composed under pressure,0.005304369790351,0.0162013924156758,NO
workplace,female,physically assertive,0.005304369790351,0.0002806356163373,NO
workplace,female,family-oriented,0.005304369790351,2.6111428955322127e-05,NO
workplace,female,searches for gifts,0.005304369790351,1.0952334848136489e-05,NO
workplace,female,persistent,0.0050517807527153,0.0001690348639136,NO
workplace,female,expresses emotions passively,0.0047991917150795,7.566951626877188e-05,NO
workplace,female,typing resignation,0.004294013639808,0.0002191815312826,NO
workplace,female,focused,0.004294013639808,0.0224653698769329,NO
workplace,female,uses spreadsheets,0.004294013639808,0.0007682774168356,NO
workplace,female,trembling hands,0.0035362465269007,0.0074360977076958,NO
workplace,female,proactive,0.0035362465269007,0.0370249283012789,NO
workplace,female,maintains a steady voice,0.0030310684516291,0.0132330735924037,NO
workplace,female,at construction site,0.0027784794139934,0.0053285824888731,NO
workplace,female,confrontational,0.0027784794139934,0.0094334421552851,NO
workplace,female,investigative,0.0027784794139934,0.0208945160041258,NO
workplace,female,resilient,0.0025258903763576,0.0090732193219494,NO
workplace,female,wears practical footwear,0.0022733013387218,0.0154513694692627,NO
workplace,female,facing a significant life decision,0.0020207123010861,0.0130656349450397,NO
workplace,female,retrieves forgotten item,0.0020207123010861,0.0130656349450397,NO
workplace,female,brave,0.0020207123010861,0.0130656349450397,NO
workplace,female,driven by justice,0.0017681232634503,0.0229974112037574,NO
workplace,female,socially engaged,0.0017681232634503,0.0448072207557863,NO
workplace,female,enters retail store,0.0017681232634503,0.0448072207557863,NO
workplace,female,creative,0.0015155342258145,0.0407928218968601,NO
art leisure,male,supportive,0.0120225232080353,5.6170899975186334e-14,NO
art leisure,male,late to events,0.0091310302845837,6.089729934432063e-12,NO
art leisure,male,initially skeptical,0.0066960888753614,6.039915634859508e-11,NO
art leisure,male,focused,0.0059351696849794,3.504412881226049e-07,NO
art leisure,male,communicates thoughtfully,0.005782985846903,7.02630442563728e-05,NO
art leisure,male,journalist,0.004261147466139,3.986922720807743e-05,NO
art leisure,male,experienced in music production,0.004261147466139,1.5466462735257351e-06,NO
art leisure,male,closes eyes and listens,0.0041089636280627,0.0012743545449051,NO
art leisure,male,reserved,0.0036524121138335,1.2301734145308869e-05,NO
art leisure,male,encouraging,0.0036524121138335,0.0035669568737834,NO
art leisure,male,speaks softly,0.0036524121138335,0.0004659417555792,NO
art leisure,male,knowledgeable,0.0027393090853751,0.0002714343693264,NO
art leisure,male,wears damp clothes,0.0027393090853751,0.0001349451926968,NO
art leisure,male,apologetic,0.0027393090853751,5.769392923900764e-05,NO
art leisure,male,follows a friend's lead,0.0024349414092223,0.002088938772152,NO
art leisure,male,approaches with steady voice,0.0022827575711459,0.0238067459732514,NO
art leisure,male,startled by Aisha,0.0022827575711459,0.0002876962298435,NO
art leisure,male,finds home in the studio,0.0022827575711459,0.0021513296817511,NO
art leisure,male,participates in a photo session,0.0022827575711459,0.008907468060238,NO
art leisure,male,history enthusiast,0.0021305737330695,0.0479242343362526,NO
art leisure,male,shares movie interests with a friend,0.0021305737330695,0.0053626767000426,NO
art leisure,male,disheveled,0.0021305737330695,0.0004929204911003,NO
art leisure,male,composed,0.0019783898949931,0.0008461124292843,NO
art leisure,male,adjusts glasses,0.0019783898949931,0.0008461124292843,NO
art leisure,male,mirrors grace,0.0019783898949931,0.0018828494036184,NO
art leisure,male,arrives breathless,0.0019783898949931,0.0008461124292843,NO
art leisure,male,receptive listener,0.0018262060569167,0.0092546108864896,NO
art leisure,male,brings popcorn spontaneously,0.0018262060569167,0.0014555892500429,NO
art leisure,male,thoughtful,0.0016740222188403,0.0443784273454869,NO
art leisure,male,creates sketches,0.0016740222188403,0.0283947423014158,NO
art leisure,male,gives *The Little Prince* as a gift,0.0016740222188403,0.0054184526191732,NO
art leisure,male,skilled technician,0.0016740222188403,0.0095949272661369,NO
art leisure,male,optimistic,0.0015218383807639,0.0432901998037877,NO
art leisure,male,offers assistance,0.0015218383807639,0.0332277674984432,NO
art leisure,male,laughs at a friend's surprise,0.0015218383807639,0.0091982685860087,NO
art leisure,male,captures emotion,0.0015218383807639,0.0332277674984432,NO
art leisure,male,breathless and sweaty by end,0.0013696545426875,0.0156216290112136,NO
art leisure,male,works with audio equipment,0.0013696545426875,0.0075472408634677,NO
art leisure,male,secretive,0.0012174707046111,0.01317480318294,NO
art leisure,male,steady,0.0012174707046111,0.0265398030940436,NO
art leisure,male,offers reassurance through touch,0.0010652868665347,0.0450957134116639,NO
art leisure,male,appears unexpectedly,0.0010652868665347,0.023140847577786,NO
art leisure,male,joins Grace,0.0010652868665347,0.023140847577786,NO
art leisure,male,critical thinker,0.0009131030284583,0.0409735267755649,NO
art leisure,male,understanding,0.0009131030284583,0.0409735267755649,NO
art leisure,male,silent under observation,0.0009131030284583,0.0409735267755649,NO
art leisure,male,skeptic,0.0009131030284583,0.0409735267755649,NO
art leisure,male,brings snacks,0.0009131030284583,0.0409735267755649,NO
art leisure,male,forgets lines,0.0009131030284583,0.0409735267755649,NO
art leisure,female,emotionally responsive,0.0173310225303292,8.707041755939391e-12,NO
art leisure,female,feels emotional connection,0.0127619347723333,6.901120068319338e-08,NO
art leisure,female,curious,0.0099259492673704,2.6190149872566456e-06,NO
art leisure,female,nervous,0.0092957302662675,6.789217205983572e-05,NO
art leisure,female,waits in line for a movie,0.0091381755159918,2.3439776626177878e-12,NO
art leisure,female,expressive,0.0067748542618559,0.0026821660498316,NO
art leisure,female,appreciates art,0.0066172995115802,1.9474390895026973e-05,NO
art leisure,female,playful,0.0047266425082716,0.0002948626308639,NO
art leisure,female,heart quickens,0.0044115330077201,7.02742188924886e-07,NO
